Trait,Stratum,Feature,Total width (bp),Proportion of SNPs,Coefficient,Coefficient_std_error,Coefficient_z-score,Coefficient_p,Coefficient_holm,Proportion of h2,Proportion of h2 standard error,Enrichment,Enrichment_std_error
ADHD,Brain-linked (sig),CG-DMRs (NeuN+),11864925,0.00411686434612,2.8307093437e-7,1.18239613316e-7,2.39404482501,0.008331856073736208,0.016663712147472417,0.0653804157947,0.0243415094886,15.881119779,5.91263336415
Alzheimers disease,Brain-linked (non-sig),CG-DMRs (NeuN+),11864925,0.00411686434612,1.89909049938e-7,1.47824594174e-7,1.28469184034,0.09944999538470055,0.49724997692350276,0.0846674588415,0.0585610803322,20.5660064853,14.2246805842
Anorexia nervosa,Brain-linked (non-sig),CG-DMRs (NeuN+),11864925,0.00411686434612,3.62028330652e-7,4.74468819398e-7,0.763018170744,0.2227262796260771,0.6681788388782313,0.0516651000856,0.0586915209779,12.5496241173,14.2563650496
Anxiety disorder,Brain-linked (non-sig),CG-DMRs (NeuN+),11864925,0.00411686434612,5.76769604006e-7,3.95633703122e-7,1.4578373871,0.0724426851667351,0.36221342583367555,0.259800294111,0.195899462455,63.106352862,47.5846289761
Autism spectrum disorder,Brain-linked (non-sig),CG-DMRs (NeuN+),11864925,0.00411686434612,4.28179061775e-7,4.92110235578e-7,0.870087697469,0.19212624017284194,0.5763787205185258,0.0361718792753,0.0321714965141,8.78626941142,7.81456317461
Bipolar disorder,Brain-linked (sig),CG-DMRs (NeuN+),11864925,0.00411686434612,7.68918948504e-7,6.81487157193e-7,1.12829558178,0.12959755438948584,0.27787310675238075,0.0534701756228,0.044641189949,12.9880829504,10.8434930558
BMI,Brain-linked (sig),CG-DMRs (NeuN+),11864925,0.00411686434612,1.23856619888e-7,5.66821000647e-8,2.18510993324,0.014440393554223848,0.028880787108447697,0.0266570554975,0.0101746374574,6.4750871674,2.47145317455
Childhood cognitive performance,Brain-linked (non-sig),CG-DMRs (NeuN+),11864925,0.00411686434612,2.59137499961e-7,4.67138922389e-7,0.554733265718,0.2895385595061153,0.8686156785183459,0.0337781152179,0.0660277734369,8.20481618484,16.0383650968
Cigarettes per day,Brain-linked (non-sig),CG-DMRs (NeuN+),11864925,0.00411686434612,-3.33478347766e-7,1.58472859041e-7,-2.10432467607,0.9823249325138824,1,-0.142927536077,0.0710841527492,-34.7175724193,17.2665763972
College attainment,Brain-linked (sig),CG-DMRs (NeuN+),11864925,0.00411686434612,9.70528916448e-8,6.9750842655e-8,1.39142249686,0.08204867329717751,0.08204867329717751,0.0407789577371,0.0241899658824,9.90534404552,5.87582291973
