Trait,Stratum,Feature,Total width (bp),Proportion of SNPs,Coefficient,Coefficient_std_error,Coefficient_z-score,Coefficient_p,Coefficient_holm,Proportion of h2,Proportion of h2 standard error,Enrichment,Enrichment_std_error
ADHD,Brain-linked (sig),CG-DMRs (NeuN+),11864925,0.00411686434612,3.22647639822e-7,1.1837006755e-7,2.72575361746,0.0032077433885556094,0.011068074375458576,0.0790768879562,0.0244631635748,19.2080382806,5.94218354507
Alzheimers disease,Brain-linked (non-sig),CG-DMRs (NeuN+),11864925,0.00411686434612,1.84936451262e-7,1.48242439569e-7,1.24752703611,0.10610215664282212,0.8488172531425769,0.0827898397215,0.0576904059335,20.1099265754,14.0131908859
Anorexia nervosa,Brain-linked (non-sig),CG-DMRs (NeuN+),11864925,0.00411686434612,3.91400357449e-7,4.73045325297e-7,0.8274056132,0.20400360005419832,1,0.0575442683647,0.0585954607159,13.9776935859,14.2330316934
Anxiety disorder,Brain-linked (non-sig),CG-DMRs (NeuN+),11864925,0.00411686434612,5.64010158888e-7,3.95421575143e-7,1.42635150519,0.07688345219486283,0.6150676175589026,0.244982154957,0.184072780811,59.5069777287,44.7118887908
Autism spectrum disorder,Brain-linked (non-sig),CG-DMRs (NeuN+),11864925,0.00411686434612,5.07134559481e-7,4.97729897579e-7,1.01889511148,0.15412638238403786,0.7706319119201893,0.044205331265,0.0326692967612,10.7376215363,7.9354805052
Bipolar disorder,Brain-linked (sig),CG-DMRs (NeuN+),11864925,0.00411686434612,9.75665027859e-7,6.78869396759e-7,1.43719105989,0.07533185628559422,0.22599556885678265,0.0748096522329,0.0447687362139,18.1715125745,10.8744744665
BMI,Brain-linked (sig),CG-DMRs (NeuN+),11864925,0.00411686434612,1.58078929342e-7,5.61189080579e-8,2.81685682799,0.0024248069367870852,0.0048496138735741705,0.0363703588489,0.0100916631214,8.83448075796,2.45129843321
Childhood cognitive performance,Brain-linked (non-sig),CG-DMRs (NeuN+),11864925,0.00411686434612,3.45862820278e-7,4.61359631045e-7,0.749659911716,0.22672977874964179,1,0.0528580844879,0.06507339866,12.8394039842,15.806544299
Cigarettes per day,Brain-linked (non-sig),CG-DMRs (NeuN+),11864925,0.00411686434612,-2.84286074004e-7,1.59450389182e-7,-1.78291238713,0.9626997168274551,1,-0.114749966752,0.0702179606654,-27.8731474015,17.056175468
College attainment,Brain-linked (sig),CG-DMRs (NeuN+),11864925,0.00411686434612,1.26440439173e-7,6.84428738683e-8,1.8473864703,0.032345574328236155,0.06306829303691038,0.0572095789066,0.0235121019366,13.8963964068,5.71116751971
Conscientiousness,Brain-linked (non-sig),CG-DMRs (NeuN+),11864925,0.00411686434612,6.11431981863e-7,4.63968284763e-7,1.31783141638,0.0937800442803976,0.6564603099627833,0.217234532665,0.172274803491,52.766988271,41.8461209811
Coronary artery disease,Non-brain-linked,CG-DMRs (NeuN+),11864925,0.00411686434612,-1.42378249357e-7,8.74988530406e-8,-1.62720132218,0.948152826482773,1,-0.0270927900418,0.0251773183279,-6.58092853298,6.11565410252
Crohns disease,Non-brain-linked,CG-DMRs (NeuN+),11864925,0.00411686434612,-4.05202654378e-7,4.99003277185e-7,-0.812024034518,0.7916110797653038,1,-0.00401097287064,0.0230585255155,-0.974278609499,5.6009923031
Depressive symptoms,Brain-linked (sig),CG-DMRs (NeuN+),11864925,0.00411686434612,9.0723378974e-8,4.72137947129e-8,1.92154389465,0.027331587041511455,0.13665793520755729,0.0664940806948,0.0271497129858,16.1516326758,6.59475530482
Epilepsy,Brain-linked (sig),CG-DMRs (NeuN+),11864925,0.00411686434612,4.0220089386e-7,2.11846602785e-7,1.89854776321,0.028811981067705286,0.14405990533852642,0.132237109074,0.0642465140131,32.1208322539,15.6056912766
Ever smoked,Brain-linked (sig),CG-DMRs (NeuN+),11864925,0.00411686434612,2.05504230948e-7,9.3696757075e-8,2.19329075374,0.01414321869982887,0.0484450601338084,0.0956496179631,0.0385419546887,23.2336093496,9.36196858783
Extraversion,Brain-linked (non-sig),CG-DMRs (NeuN+),11864925,0.00411686434612,6.25671437169e-8,9.54768646359e-8,0.65531209006,0.2561334191488447,1,0.132481898558,0.189248767065,32.1802924313,45.9691530141
