ID,Number sequenced PE reads,Number aligned PE reads,Alignment rate (%),Number covered CpGs,Covered CpGs (%),Mean depth,Bisulfite conversion rate (%)
5248_BA24_neg,186226730.0,155961948.0,84.0,26079406.0,97.0,9.289470461712614,99.72
5248_BA24_pos,213839876.0,179935546.0,84.0,26132401.0,98.0,10.413845898631099,99.7
5248_BA9_neg,172135974.0,133475274.0,78.0,26010262.0,97.0,8.054030056478034,99.71
5248_BA9_pos,160498902.0,125394428.0,78.0,25916449.0,97.0,7.429853664874673,99.72
5248_HC_neg,178261169.0,148943613.0,84.0,26058213.0,97.0,8.90566149168783,99.71
5248_HC_pos,191836390.0,160841141.0,84.0,26070832.0,97.0,9.519831716437466,99.69
5248_NAcc_neg,236515982.0,198505726.0,84.0,26146975.0,98.0,11.491615575877159,99.73
5248_NAcc_pos,253953719.0,211904969.0,83.0,26182327.0,98.0,12.290443709199916,99.71
5284_BA24_pos,358104726.0,301163379.0,84.0,26324695.0,98.0,17.078667493100323,99.69
5284_BA9_neg,268242722.0,224527048.0,84.0,26228163.0,98.0,13.128022993714803,99.72
5284_BA9_pos,295725885.0,247739429.0,84.0,26255383.0,98.0,14.400312499275774,99.72
5284_HC_neg,212928390.0,166475014.0,78.0,26183047.0,98.0,9.983476659666003,99.71
5284_HC_pos,218546e3,171536890.0,78.0,26213347.0,98.0,10.400766845905883,99.7
5284_NAcc_neg,195686787.0,152838267.0,78.0,26156725.0,98.0,9.272888547855839,99.71
5284_NAcc_pos,200329132.0,157926779.0,79.0,26175554.0,98.0,9.620774492236336,99.71
5552_BA24_neg,291317844.0,243330451.0,84.0,26260057.0,98.0,14.080564535126209,99.66
5552_BA9_neg,272124173.0,225647506.0,83.0,26199390.0,98.0,12.775941061953294,99.73
5552_BA9_pos,273143455.0,227362862.0,83.0,26194441.0,98.0,12.747440389385716,99.73
5552_HC_neg,217284440.0,181410293.0,83.0,26179491.0,98.0,10.685525933044072,99.73
5552_HC_pos,307496212.0,256428444.0,83.0,26320746.0,98.0,15.033241875904721,99.72
5552_NAcc_neg,228264382.0,190553687.0,83.0,26184107.0,98.0,11.122090882633088,99.71
5552_NAcc_pos,196034562.0,164614208.0,84.0,26068973.0,97.0,9.510230891817955,99.68
5569_BA24_neg,198860386.0,163728214.0,82.0,26110163.0,98.0,9.761664821743986,99.72
5569_BA24_pos,276795020.0,232623766.0,84.0,26262581.0,98.0,13.689990827842362,99.73
5569_BA9_neg,187015426.0,142074587.0,76.0,26101682.0,98.0,8.673459226660544,99.75
5569_BA9_pos,196870578.0,151852752.0,77.0,26127573.0,98.0,9.195625772678962,99.69
5569_HC_neg,178924184.0,137910725.0,77.0,26035008.0,97.0,8.255963827504228,99.71
5569_HC_pos,273642606.0,229128976.0,84.0,26229883.0,98.0,13.355623218918224,99.71
5569_NAcc_neg,267375495.0,222925515.0,83.0,26221445.0,98.0,13.062345627742573,99.73
5569_NAcc_pos,280406840.0,235224240.0,84.0,26291943.0,98.0,14.061416450570114,99.71
5570_BA24_pos,302096038.0,257133275.0,85.0,26242576.0,98.0,14.379822980123652,99.7
5570_BA9_neg,295284144.0,244407871.0,83.0,26228038.0,98.0,13.80348732625213,99.73
5570_BA9_pos,282697829.0,236946971.0,84.0,26198801.0,98.0,13.344975472010267,99.68
5570_HC_neg,246609125.0,207519190.0,84.0,26195912.0,98.0,11.955746974642038,99.72
5570_HC_pos,239842614.0,201958120.0,84.0,26192100.0,98.0,11.69060228009866,99.71
5570_NAcc_neg,194756187.0,153423539.0,79.0,26140583.0,98.0,9.198264384659165,99.7
5570_NAcc_pos,181915587.0,141363892.0,78.0,26065940.0,97.0,8.356594933850046,99.7
5628_BA24_neg,247146026.0,201124918.0,81.0,26217382.0,98.0,11.749106875260674,99.69
5628_BA24_pos,212813045.0,177817956.0,84.0,26150491.0,98.0,10.35896183495783,99.73
5628_BA9_neg,204771527.0,154996917.0,76.0,26229698.0,98.0,9.6744492948787,99.2
5628_BA9_pos,177493601.0,137443962.0,77.0,26040150.0,97.0,8.13736541452897,99.72
5628_HC_neg,309179826.0,256419036.0,83.0,26296673.0,98.0,14.94921608292127,99.7
5628_HC_pos,276394509.0,228504661.0,83.0,26237543.0,98.0,13.16382094788033,99.7
5628_NAcc_neg,197329558.0,151457255.0,77.0,26161557.0,98.0,9.122031449384066,99.7
5628_NAcc_pos,189954516.0,146882377.0,77.0,26103993.0,98.0,8.735451918090368,99.7
