ID,Number sequenced PE reads,Number aligned PE reads,Alignment rate (%),Number covered CpGs,Covered CpGs (%),Mean depth,Bisulfite conversion rate (%)
5085_NAcc,195601647.0,160220906.0,82.0,26022417.0,97.0,8.813206643575665,99.7
5086_BA9,233650339.0,189511377.0,81.0,26081507.0,97.0,10.346356715669318,99.79
5086_NAcc,200542244.0,162491143.0,81.0,26073961.0,97.0,9.147829927608807,99.7
5248_BA9,230506697.0,190865165.0,83.0,26143156.0,98.0,10.723601750582054,99.81
5248_HC,225868894.0,184647456.0,82.0,25964989.0,97.0,9.248476546406415,99.75
5250_BA24,225133352.0,191297293.0,85.0,26114171.0,98.0,9.677521321023947,99.75
5250_BA9,211090153.0,158899436.0,75.0,26053440.0,97.0,8.485889163644107,99.71
5250_NAcc,210017159.0,179668291.0,86.0,25939692.0,97.0,8.4221607223076,99.78
5284_caudate,222456986.0,180288167.0,81.0,26103250.0,98.0,10.136315950441192,99.7
5284_HC,257433583.0,213486372.0,83.0,26056857.0,97.0,10.303345135007298,99.78
5284_NAcc,210816973.0,169861786.0,81.0,26068872.0,97.0,9.612636248854415,99.69
5358_BA9,222282974.0,173980331.0,78.0,26103012.0,98.0,8.976070267593904,99.72
5358_NAcc,227572251.0,187244882.0,82.0,26066987.0,97.0,8.740624218069636,99.78
5404_BA24,206911456.0,171877036.0,83.0,26152002.0,98.0,9.624961060008069,99.78
5404_NAcc,232528640.0,192843834.0,83.0,26185756.0,98.0,10.648143092237936,99.78
5540_BA9,226712364.0,173479770.0,77.0,26102549.0,98.0,9.088908739012606,99.7
5552_BA24,169715817.0,133102575.0,78.0,25926832.0,97.0,7.395688368225385,99.75
5552_BA9,222929873.0,191517793.0,86.0,26068444.0,97.0,8.837791038826657,99.79
5552_caudate,198717396.0,160353956.0,81.0,26054360.0,97.0,9.008343418918956,99.7
5552_HC,236556650.0,201207902.0,85.0,26041324.0,97.0,10.083281793368013,99.8
5569_BA9,163170123.0,112967067.0,69.0,25767628.0,96.0,6.530506526032399,99.73
5569_caudate,256846566.0,203695947.0,79.0,26187736.0,98.0,11.44990266777539,99.69
5569_HC,212171189.0,166639855.0,79.0,25615489.0,96.0,7.144527606968447,99.78
5570_BA24,207532584.0,128074787.0,62.0,25866929.0,97.0,7.166986385150928,99.73
5570_BA9,217676426.0,178086524.0,82.0,25965106.0,97.0,7.7363042058331155,99.76
5570_caudate,253712153.0,202717178.0,80.0,26173197.0,98.0,11.179914574610072,99.68
5570_HC,216918589.0,178337262.0,82.0,25700621.0,96.0,7.738084736263275,99.78
5628_BA24,218513235.0,184706071.0,85.0,26138104.0,98.0,9.393743816979683,99.79
5628_BA9,152837492.0,120558618.0,79.0,25810306.0,96.0,6.4077232647378946,99.69
5628_HC,148279548.0,119783759.0,81.0,25852457.0,97.0,6.876245360188291,99.76
5628_NAcc,198776707.0,161208801.0,81.0,26067172.0,97.0,9.166810552444385,99.7
