chr,start,end,n,meanDiff,group1.mean,group2.mean,tstat.sd,direction,fwer
chr3,98254504,98254836,5,-0.736685627,0.058302096,0.794987722,0.069006406,hypo,0
chr11,114483028,114483485,12,-0.710948824,0.176775513,0.887724337,0.054065475,hypo,0
chr12,9882243,9882840,6,-0.64383694,0.050859708,0.694696648,0.064721782,hypo,0
chr1,3590655,3590938,3,-0.623433799,0.156936094,0.780369893,0.091171133,hypo,0
chr4,90760483,90760841,4,-0.621956804,0.280572285,0.902529089,0.053708823,hypo,0
chr17,66454603,66455463,11,-0.617328722,0.19184897,0.809177692,0.067991088,hypo,0
chr10,52269954,52270666,5,-0.612244155,0.227939765,0.84018392,0.053255607,hypo,0
chr18,67613766,67614438,7,-0.61025377,0.199011241,0.809265011,0.067421433,hypo,0
chr3,12689261,12689779,4,-0.603336139,0.249027381,0.852363521,0.055762645,hypo,0
chr18,67612500,67613334,9,-0.600709191,0.283384989,0.88409418,0.067421433,hypo,0
chr4,154410919,154411487,10,-0.599614666,0.096528294,0.69614296,0.058898393,hypo,0
chr12,9883266,9883446,3,-0.59314489,0.021329629,0.614474519,0.06390546,hypo,0
chr3,98273390,98274531,14,-0.592968815,0.15874521,0.751714026,0.053361998,hypo,0
chr22,19702992,19703254,3,-0.592689607,0.096135544,0.688825151,0.083300056,hypo,0
chr6,169956967,169957543,13,-0.586167327,0.204779304,0.790946631,0.061151122,hypo,0
chr6,220908,222267,28,-0.584363065,0.20868405,0.793047116,0.060002959,hypo,0
chr3,194928561,194929283,13,-0.575060834,0.138555986,0.71361682,0.088564897,hypo,0
chr7,32470154,32470665,4,-0.569100656,0.295794273,0.864894929,0.059172482,hypo,0
chr5,110846605,110846692,3,-0.565509529,0.254338275,0.819847804,0.054940397,hypo,0
chr8,42012199,42012711,10,-0.564500089,0.239948672,0.804448761,0.079586529,hypo,0
chr15,52671009,52672238,20,-0.559645646,0.191638621,0.751284267,0.068608537,hypo,0
chr6,33384179,33384897,11,-0.558239203,0.131158142,0.689397345,0.055245282,hypo,0
chr11,315053,315262,5,-0.557094703,0.119507479,0.676602183,0.089140531,hypo,0
chr4,154411825,154412746,20,-0.553532579,0.236805762,0.790338341,0.059606092,hypo,0
chr4,190787172,190787708,6,-0.551012813,0.330772055,0.881784868,0.054075671,hypo,0
chr6,229118,229974,18,-0.551001699,0.317028248,0.868029948,0.064970409,hypo,0
chr7,54615347,54615530,3,-0.549922051,0.151932413,0.701854465,0.05423976,hypo,0
chr6,27781643,27781921,7,-0.54951913,0.024095128,0.573614258,0.058920627,hypo,0
chr9,85660803,85662041,9,-0.54941082,0.316852551,0.86626337,0.055354357,hypo,0
chr4,48197938,48199140,17,-0.546099852,0.195763573,0.741863425,0.060123402,hypo,0
chr19,2597551,2597981,6,-0.54579352,0.301256568,0.847050088,0.060215901,hypo,0
chr2,8746311,8747062,14,-0.545278329,0.345730923,0.891009252,0.0641798,hypo,0
chr14,96128076,96128707,15,-0.545071864,0.216787404,0.761859269,0.07544379,hypo,0
chr14,65768520,65769844,17,-0.54288088,0.208853875,0.751734755,0.058046083,hypo,0
chr20,62732517,62732577,3,-0.540223191,0.290492138,0.830715329,0.071898872,hypo,0
chr9,139660295,139660797,12,-0.537162407,0.203296722,0.740459129,0.068094225,hypo,0
chr8,101319442,101320106,8,-0.5362169,0.065612756,0.601829656,0.055982378,hypo,0
chr1,79088240,79088769,6,-0.535438687,0.258704441,0.794143127,0.065539228,hypo,0
chr18,73510281,73510569,4,-0.535380986,0.329284578,0.864665565,0.054169298,hypo,0
chr11,45201036,45201141,3,-0.535255842,0.382569497,0.917825339,0.062032602,hypo,0
chr20,48285097,48285543,13,-0.533775377,0.195922308,0.729697685,0.054813063,hypo,0
chr1,204939634,204939815,4,-0.532479358,0.339125481,0.871604839,0.057895789,hypo,0
chr9,114747759,114749162,19,-0.530271521,0.191851144,0.722122664,0.057703661,hypo,0
chr15,80302955,80303973,15,-0.530108712,0.225248257,0.755356968,0.069593789,hypo,0
chr10,11650023,11651524,21,-0.530077113,0.081800559,0.611877672,0.056973744,hypo,0
chr1,54939271,54939573,3,-0.529597878,0.337186102,0.86678398,0.058161794,hypo,0
chr8,135575380,135576594,17,-0.529108268,0.179545427,0.708653695,0.065136657,hypo,0
chr2,238362948,238363414,5,-0.52822644,0.309504755,0.837731195,0.057405399,hypo,0
chr8,103541708,103542249,10,-0.528080995,0.209271141,0.737352136,0.078934738,hypo,0
chr5,138610687,138612375,23,-0.527848443,0.137263574,0.665112017,0.053268861,hypo,0
chr9,5451900,5452636,12,-0.527742697,0.220225495,0.747968193,0.060197051,hypo,0
chr8,126648720,126650226,21,-0.527725692,0.175935042,0.703660734,0.056506964,hypo,0
chr22,47396635,47397684,17,-0.526936014,0.218779105,0.745715119,0.07426626,hypo,0
chr7,99962708,99964802,33,-0.525586028,0.23287491,0.758460938,0.054532123,hypo,0
chr17,2141682,2143872,28,-0.524477208,0.202761379,0.727238587,0.060576757,hypo,0
chr15,80301885,80302593,9,-0.524459417,0.258493226,0.782952643,0.067816808,hypo,0
chr3,176965334,176965481,9,-0.524194194,0.24622955,0.770423744,0.085121794,hypo,0
chr9,114660698,114661197,3,-0.52292823,0.173228565,0.696156794,0.065794189,hypo,0
chr6,106614043,106614677,6,-0.522538619,0.344437206,0.866975825,0.068751072,hypo,0
chr1,116917856,116919606,18,-0.521780123,0.197784363,0.719564486,0.060831542,hypo,0
chr8,135577157,135577695,16,-0.521763589,0.207707737,0.729471326,0.065536393,hypo,0
chr2,172014419,172015105,10,-0.521435343,0.198404979,0.719840323,0.055391567,hypo,0
chr20,3658336,3659145,13,-0.521152776,0.304162935,0.825315711,0.063595071,hypo,0
chr7,77046215,77046751,10,-0.521031842,0.188543401,0.709575243,0.05704584,hypo,0
chr20,24681557,24682211,8,-0.520652555,0.351150742,0.871803297,0.055066653,hypo,0
chr2,53586952,53587449,3,-0.520244806,0.236893145,0.757137951,0.055340151,hypo,0
chr4,106069919,106070261,6,-0.520168839,0.184451146,0.704619985,0.056366413,hypo,0
chr13,49104830,49106105,19,-0.519043298,0.250734471,0.769777769,0.059746002,hypo,0
chr17,80360668,80361229,8,-0.518904932,0.374872635,0.893777567,0.072966293,hypo,0
chr9,14692041,14692238,3,-0.518475937,0.275274473,0.793750409,0.074329394,hypo,0
